id,difficulty
0,C2
1,B1
2,B2
3,B1
4,C2
5,C2
6,A1
7,A2
8,B2
9,A2
10,A1
11,A2
12,B2
13,C1
14,A1
15,A2
16,B2
17,A2
18,A2
19,A1
20,C2
21,C2
22,C1
23,C1
24,B1
25,C2
26,A1
27,A1
28,C2
29,B2
30,A2
31,A2
32,A1
33,A2
34,B1
35,A1
36,C1
37,B1
38,A1
39,A1
40,B1
41,B2
42,C2
43,C1
44,C1
45,C1
46,B2
47,C1
48,A1
49,A1
50,C1
51,A1
52,B2
53,A1
54,A1
55,C1
56,C1
57,B2
58,C1
59,B1
60,B2
61,A2
62,C2
63,C1
64,C1
65,B2
66,B2
67,A2
68,B2
69,C1
70,A1
71,B2
72,B2
73,B2
74,B1
75,A2
76,B1
77,C1
78,B1
79,B2
80,A2
81,A1
82,B2
83,A2
84,A2
85,B2
86,B1
87,C2
88,C2
89,B1
90,C2
91,A2
92,B2
93,B2
94,B1
95,A2
96,A1
97,A2
98,B1
99,C2
100,B2
101,C1
102,A2
103,A2
104,C2
105,C2
106,B1
107,A1
108,B1
109,C1
110,B2
111,A1
112,B2
113,C1
114,C2
115,B2
116,C2
117,A2
118,A2
119,C1
120,A1
121,B1
122,A1
123,C1
124,A2
125,C1
126,C2
127,B2
128,C1
129,B2
130,A2
131,A2
132,B2
133,C2
134,C2
135,C2
136,A2
137,C1
138,B1
139,A2
140,A1
141,C1
142,C2
143,C2
144,C1
145,C1
146,A1
147,C1
148,B2
149,B1
150,B2
151,B2
152,A1
153,A2
154,A1
155,C1
156,C1
157,A1
158,A1
159,A1
160,A1
161,A1
162,B1
163,B2
164,C2
165,C2
166,A1
167,B2
168,B2
169,B2
170,C1
171,C1
172,A1
173,A2
174,A1
175,C1
176,C1
177,B2
178,B1
179,C2
180,A1
181,C2
182,B2
183,B1
184,B2
185,B1
186,A2
187,C1
188,C1
189,C2
190,A1
191,B2
192,B2
193,B1
194,B1
195,A2
196,C2
197,B2
198,C1
199,A2
200,C1
201,C2
202,A1
203,A1
204,C2
205,A1
206,A2
207,B2
208,A2
209,A1
210,A2
211,A1
212,B1
213,C1
214,B1
215,B2
216,B2
217,C2
218,B1
219,B2
220,B1
221,B2
222,A1
223,C2
224,A1
225,C1
226,A1
227,B1
228,B1
229,A1
230,B2
231,C1
232,C2
233,A2
234,B1
235,B2
236,C2
237,B1
238,B2
239,C2
240,B1
241,B1
242,A1
243,B1
244,B1
245,A1
246,B2
247,B2
248,B1
249,B2
250,B1
251,B2
252,A1
253,B2
254,B2
255,C2
256,B1
257,A1
258,A1
259,C2
260,A2
261,A2
262,A1
263,B1
264,B2
265,C1
266,B1
267,B1
268,B2
269,C1
270,B1
271,B2
272,A2
273,C1
274,A1
275,C1
276,B2
277,C2
278,C2
279,B2
280,A1
281,C1
