id,difficulty
0,C2
1,A2
2,B2
3,A2
4,C2
5,C1
6,A1
7,A2
8,B2
9,A2
10,A2
11,A2
12,B2
13,C1
14,A1
15,A2
16,B2
17,A2
18,A2
19,A1
20,C1
21,B2
22,C1
23,B2
24,A2
25,C2
26,A1
27,A1
28,C2
29,B1
30,A2
31,A2
32,A1
33,A2
34,A2
35,A2
36,C1
37,B1
38,A1
39,A1
40,A2
41,B2
42,C1
43,C1
44,B2
45,C1
46,B2
47,C1
48,A1
49,A1
50,C1
51,A1
52,B2
53,A1
54,A1
55,C1
56,C1
57,B2
58,C1
59,B1
60,B2
61,A1
62,C2
63,C1
64,C1
65,B2
66,B2
67,A2
68,B2
69,B2
70,A1
71,B2
72,B2
73,B1
74,A2
75,A2
76,B1
77,C1
78,B1
79,B2
80,A2
81,A1
82,B2
83,A2
84,A1
85,B2
86,B1
87,B1
88,C2
89,B1
90,C1
91,A2
92,B2
93,B2
94,A2
95,A2
96,A2
97,A2
98,A2
99,C2
100,B2
101,C1
102,A2
103,A2
104,B1
105,C2
106,B1
107,A1
108,A2
109,C1
110,C1
111,A1
112,C1
113,C1
114,C2
115,B2
116,C1
117,A2
118,A2
119,B2
120,A1
121,B1
122,B2
123,C1
124,A2
125,C1
126,C1
127,B2
128,C1
129,B2
130,A2
131,A1
132,B2
133,C2
134,C2
135,C2
136,A2
137,C1
138,A2
139,A2
140,A1
141,C1
142,C2
143,C2
144,C1
145,C1
146,A1
147,C1
148,B2
149,A2
150,B2
151,B1
152,A1
153,A2
154,A1
155,B2
156,C1
157,A1
158,A1
159,A1
160,A2
161,A1
162,B1
163,B2
164,C2
165,C1
166,A1
167,B1
168,B2
169,B2
170,B2
171,B2
172,A1
173,A2
174,A1
175,C1
176,C1
177,B2
178,B1
179,C2
180,A1
181,B2
182,B2
183,A2
184,B2
185,A2
186,A2
187,C1
188,C1
189,C2
190,A1
191,B2
192,B2
193,B1
194,B1
195,A2
196,C1
197,C1
198,C1
199,B1
200,C1
201,B2
202,A1
203,A1
204,C2
205,A2
206,A2
207,B2
208,A2
209,A1
210,A1
211,A1
212,B1
213,B2
214,B1
215,B1
216,B2
217,C2
218,A2
219,B2
220,B2
221,B2
222,A1
223,B1
224,A1
225,C1
226,A1
227,B1
228,A2
229,A1
230,B2
231,B2
232,C2
233,A2
234,B1
235,B2
236,C2
237,A2
238,C1
239,C2
240,B1
241,A1
242,A1
243,B1
244,B1
245,A1
246,B2
247,B1
248,A2
249,B1
250,B1
251,B1
252,A1
253,C1
254,B1
255,C2
256,A2
257,A1
258,A1
259,C2
260,A1
261,A2
262,A1
263,B1
264,B2
265,C1
266,B1
267,A2
268,C1
269,C1
270,A2
271,B2
272,A2
273,C1
274,A1
275,B2
276,B2
277,C2
278,C1
279,B1
280,A1
281,C1
282,C1
283,B1
284,A2
285,B2
286,C1
287,C2
288,B2
289,C1
290,C1
291,B1
292,A2
293,B2
294,C1
295,C2
296,B2
297,B2
298,B1
299,A2
300,A1
301,A2
302,C1
303,A1
304,B2
305,A1
306,A2
307,B2
308,C1
309,A2
310,C2
311,B2
312,C1
313,C2
314,B2
315,C1
316,A1
317,B1
318,A2
319,A1
320,C1
321,C2
322,C1
323,C2
324,A1
325,A1
326,C1
327,C1
328,A2
329,B1
330,C1
331,A2
332,A2
333,B2
334,A2
335,A2
336,A2
337,A1
338,C1
339,C1
340,B1
341,A1
342,B2
343,B1
344,C2
345,A2
346,A2
347,B2
348,A1
349,B1
350,B1
351,B1
352,C1
353,B2
354,B2
355,C2
356,B1
357,B1
358,B2
359,C2
360,A2
361,C1
362,C1
363,B1
364,C1
365,B2
366,A2
367,B2
368,A1
369,B2
370,C2
371,A1
372,B2
373,A1
374,C2
375,A1
376,A1
377,B2
378,B1
379,B1
380,B1
381,A1
382,B2
383,A2
384,C1
385,C1
386,C1
387,A1
388,C2
389,A2
390,C2
391,A2
392,A1
393,C2
394,C2
395,B2
396,A2
397,A2
398,B1
399,A1
400,B2
401,A1
402,A1
403,C1
404,B1
405,C2
406,B2
407,A1
408,A2
409,B2
410,C1
411,B2
412,C1
413,C2
414,B1
415,C1
416,C2
417,C1
418,B1
419,A2
420,A2
421,B2
422,B2
423,A1
424,A2
425,B1
426,A2
427,B2
428,B1
429,A2
430,C2
431,A2
432,B2
433,C2
434,A1
435,A1
436,C1
437,C2
438,A2
439,A1
440,B2
441,B1
442,C1
443,C1
444,B1
445,A2
446,B1
447,A1
448,C1
449,B1
450,C1
451,A2
452,A1
453,A2
